Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1500;-0,3867;15,3133;0,08282;11,997;12,716;13,164;13,409;13,8;14,073;14,49;15,313;16,203;16,71;17,066;17,614;17,982;18,708;20,05;11,116;12,079;13,042;14,114;15,313;16,658;18,172;19,885;21,597
1501;-0,3874;15,3128;0,08283;11,997;12,716;13,163;13,409;13,8;14,073;14,489;15,313;16,203;16,71;17,066;17,613;17,982;18,708;20,05;11,116;12,079;13,041;14,114;15,313;16,658;18,172;19,885;21,598
1502;-0,3881;15,3123;0,08284;11,996;12,715;13,163;13,408;13,799;14,072;14,489;15,312;16,202;16,71;17,066;17,613;17,982;18,708;20,051;11,116;12,078;13,041;14,113;15,312;16,657;18,172;19,886;21,599
1503;-0,3888;15,3118;0,08285;11,996;12,715;13,162;13,408;13,799;14,072;14,488;15,312;16,202;16,709;17,065;17,613;17,982;18,708;20,052;11,115;12,078;13,04;14,113;15,312;16,657;18,172;19,886;21,6
1504;-0,3894;15,3113;0,08287;11,995;12,714;13,161;13,407;13,798;14,071;14,488;15,311;16,201;16,709;17,065;17,613;17,982;18,709;20,053;11,114;12,077;13,039;14,112;15,311;16,657;18,173;19,887;21,602
1505;-0,3901;15,3109;0,08288;11,994;12,713;13,161;13,407;13,798;14,07;14,487;15,311;16,201;16,709;17,065;17,613;17,982;18,709;20,053;11,114;12,076;13,039;14,112;15,311;16,657;18,173;19,888;21,603
1506;-0,3908;15,3104;0,08289;11,994;12,713;13,16;13,406;13,797;14,07;14,487;15,31;16,201;16,708;17,065;17,613;17,982;18,709;20,054;11,113;12,076;13,038;14,111;15,31;16,656;18,173;19,888;21,604
1507;-0,3915;15,3099;0,0829;11,994;12,712;13,16;13,405;13,796;14,069;14,486;15,31;16,2;16,708;17,065;17,613;17,982;18,709;20,055;11,113;12,075;13,038;14,11;15,31;16,656;18,173;19,889;21,605
1508;-0,3922;15,3094;0,08291;11,993;12,712;13,159;13,405;13,796;14,069;14,486;15,309;16,2;16,708;17,064;17,613;17,982;18,709;20,055;11,113;12,075;13,037;14,11;15,309;16,656;18,173;19,889;21,606
1509;-0,3929;15,309;0,08292;11,993;12,711;13,159;13,404;13,795;14,068;14,485;15,309;16,2;16,708;17,064;17,613;17,982;18,71;20,056;11,112;12,075;13,037;14,109;15,309;16,656;18,173;19,89;21,607
