Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
269;-0,2666;16,7588;0,08904;12,851;13,699;14,226;14,516;14,977;15,299;15,789;16,759;17,805;18,4;18,818;19,459;19,891;20,739;22,302;11,812;12,947;14,083;15,347;16,759;18,339;20,113;22,11;24,107
270;-0,2678;16,7551;0,08903;12,849;13,696;14,224;14,513;14,974;15,295;15,786;16,755;17,801;18,396;18,814;19,455;19,886;20,734;22,298;11,811;12,945;14,08;15,344;16,755;18,335;20,109;22,105;24,102
271;-0,269;16,7515;0,08902;12,847;13,694;14,221;14,511;14,971;15,292;15,783;16,752;17,797;18,392;18,809;19,451;19,882;20,73;22,293;11,809;12,943;14,078;15,341;16,752;18,331;20,104;22,101;24,098
272;-0,2702;16,7478;0,089;12,845;13,692;14,219;14,508;14,968;15,289;15,78;16,748;17,793;18,388;18,805;19,446;19,877;20,725;22,288;11,808;12,942;14,075;15,338;16,748;18,327;20,099;22,096;24,092
273;-0,2714;16,7441;0,08899;12,843;13,69;14,216;14,505;14,965;15,286;15,776;16,744;17,789;18,383;18,801;19,441;19,873;20,72;22,284;11,807;12,94;14,073;15,335;16,744;18,322;20,095;22,091;24,088
274;-0,2726;16,7404;0,08898;12,841;13,687;14,213;14,502;14,962;15,283;15,773;16,74;17,785;18,379;18,796;19,437;19,868;20,716;22,279;11,805;12,938;14,07;15,331;16,74;18,318;20,09;22,087;24,083
275;-0,2737;16,7367;0,08897;12,839;13,685;14,211;14,5;14,959;15,28;15,77;16,737;17,781;18,375;18,792;19,433;19,864;20,711;22,274;11,804;12,936;14,067;15,328;16,737;18,314;20,086;22,082;24,078
276;-0,2749;16,7329;0,08895;12,838;13,683;14,208;14,497;14,956;15,277;15,766;16,733;17,776;18,371;18,788;19,428;19,859;20,706;22,269;11,803;12,934;14,065;15,325;16,733;18,31;20,081;22,077;24,072
277;-0,2761;16,7291;0,08894;12,836;13,68;14,205;14,494;14,953;15,274;15,763;16,729;17,772;18,366;18,783;19,423;19,854;20,701;22,264;11,802;12,932;14,062;15,322;16,729;18,305;20,076;22,072;24,068
278;-0,2773;16,7253;0,08893;12,834;13,678;14,203;14,491;14,95;15,27;15,759;16,725;17,768;18,362;18,779;19,419;19,85;20,697;22,26;11,8;12,93;14,06;15,319;16,725;18,301;20,072;22,067;24,063
